Date,URL,News
2024-08-08,https://www.thestar.com.my/business/business-news/2024/08/08/maybank-eyes-20-increase-in-sales-points-redemptions-at-treats-fair-2024,Group chief executive officer of community financial services Syed Ahmad Taufik Albar said the previous Treats Fair generated over RM10 million in sales and witnessed a staggering two billion Maybank points redeemed.
2024-08-08,https://www.thestar.com.my/business/business-news/2024/08/08/mohamed-rezwan-is-new--maybank-gcro,"In a statement, Maybank said Mohamed Rezwan will be responsible to strategise, lead and implement a progressive enterprise-wide risk management framework that appropriately identifies, manages and mitigates risks to achieve the strategic and business objectives of Maybank Group."
2024-08-13,https://www.thestar.com.my/business/business-news/2024/08/13/maybank-launches-inaugural-social-initiatives-report,"In a statement, the bank said the SIR, themed “Purpose Driven Social Impact Across ASEAN”, showcases banking and beyond banking social initiatives by Maybank and Maybank Foundation that have positively impacted its stakeholders and communities it serves across Asean."
2024-08-13,https://www.thestar.com.my/tech/tech-news/2024/08/13/maybank-rolling-out-malware-blocking-feature-to-mae-app,"PETALING JAYA:Maybank is enhancing the security of itsMAEapp with the rollout of a new malware-detection feature that will detect malicious applications and risky device settings. This comes after the announcement from Bank Negara Malaysia (BNM) last Friday (Aug 9), which states that a new malware shielding feature would be introduced to several Malaysian mobile banking apps."
2024-08-15,https://www.thestar.com.my/news/nation/2024/08/15/unlocking-lbs-dream-home-made-easy-with-maybank-mydeco,"PETALING JAYA: LBS Bina Group Bhd announced its collaboration with Maybank Bhd for the integration of Maybank MyDeco Financing. This first-of-its-kind innovative initiative, aims to make homeownership more accessible and affordable for Malaysians through Maybank's exceptional 120% loan margin offer."
2024-08-22,https://www.thestar.com.my/business/business-news/2024/08/22/maybank-sweeps-multiple-awards-at-euromoney-awards-for-excellence,"Additionally, Global Finance has announced the winners for the World’s Best Consumer Digital Bank Awards 2024 in Asia-Pacific with Maybank picking up the country awards for Malaysia and Indonesia respectively. Maybank was also named winner of the Malaysia country category since 2018."
2024-08-29,https://www.thestar.com.my/business/business-news/2024/08/29/maybank-posts-stellar-1h24-results,"The banking group, also the largest lender in the country, said it will advance the application of values-based banking principles through its solutions and services as a strategic differentiator to further drive economic value, moving forward."
2024-08-30,https://www.thestar.com.my/business/business-news/2024/08/30/maybank-on-track-for-solid-2h-results,"MIDF Research said it believed issues with earnings and return on equity (ROE) would not be major concerns for now, adding that it predicted the group’s financial year 2024 (FY24) results should not deviate significantly from its target of 11%."
2024-09-11,https://www.thestar.com.my/business/business-news/2024/09/11/maybank-invests-in-funding-societies,"PETALING JAYA: Maybank remains committed to driving financial inclusion as it announced a strategic investment in a unified digital platform for micro, small and medium enterprises in Southeast Asia, Funding Societies Modalku (Funding Societies). Established in 2015, Funding Societies is a regional financial technology company that specialises in providing financing to micro, small and medium enterprises (MSMEs)."
2024-09-19,https://www.thestar.com.my/sport/golf/2024/09/19/korda-and-lydia-head-marquee-list-for-maybank-championship,"PETALING JAYA: World No. 1 Nelly Korda of the United States and Paris 2024 Olympics gold medallist Lydia Ko of New Zealand are among the many marquee names that will feature in the Maybank Championship 2024 at the Kuala Lumpur Golf and Country Club (KLGCC) from Oct 24-27. The tournament will also feature defending champion Celine Boutier of France, last year’s runner-up Atthaya Thitikul of Thailand and American world No. 2 Lilia Vu and former world No. 1 Ruoning Yin of China."
2024-09-22,https://www.thestar.com.my/sport/hockey/2024/09/22/maybank-bag-first-mihl-crown,"PETALING JAYA: After trying again and again, Maybank finally won their first Malaysian Indoor Hockey League (MIHL) title after thrashing Tenaga Nasional 4-1 at the IOI City Mall Sports Arena yesterday. Maybank displayed a stellar performance to clinch the title for the first time under head coach Iman Gobinathan, who was over the mood by the victory."
2024-09-24,https://www.thestar.com.my/business/business-news/2024/09/24/asean-data-centre-market-can-reach-us11bil-by-2028---maybank-ib,"KUALA LUMPUR: The potential total addressable market for ASEAN data centres is estimated to reach US$11 billion (US$1=RM4.20) by 2028 on the back of the global data centre demand boom, according to Maybank Investment Bank (Maybank IB) Bhd. In its latest ASEAN Data Centre sector report, the research bank said ASEAN-based companies would capture the value under three heads -- data-centre capital expenditure (capex), data-centre operational expenditure (opex), and global data-centre capex."
2024-10-02,https://www.thestar.com.my/business/business-news/2024/10/02/mazhatulshima-appointed-maybank039s-group-chief-human-capital-officer,"In a statement, the bank said Mazhatulshima will be responsible for driving the group's people strategy based on a progressive and comprehensive enterprise=wide people management framework and initiatives."
2024-10-03,https://www.thestar.com.my/business/business-news/2024/10/03/maybank-and-bank-of-hangzhou-collaborate-to-boost-cross-border-services-and-digital-innovation,"In a statement, Maybank said the collaboration will focus on enhancing cross-border business and advancing digital innovation."
2024-10-09,https://www.thestar.com.my/business/business-news/2024/10/09/bright-outlook-for-maybank,"Following a recent virtual investor day held by the bank for its Singapore and Indonesia operations, CGS International (CGSI) Research said it had a positive outlook for the business growth in the southern state with the developments of the Johor-Singapore Special Economic Zone and the Special Financial Zone in Forest City."
2024-10-17,https://www.thestar.com.my/sport/golf/2024/10/17/injured-korda-forced-to-give-maybank-championship-a-miss,"PETALING JAYA: Malaysian golf fans will not get the chance to see world No. 1 female golfer Nelly Korda in action at the Maybank Championship in Kuala Lumpur next week. The American golfer, who is also the Tokyo 2020 Olympic gold medallist, has withdrawn from this week’s BMW Ladies Championship and also the Maybank Championship after hurting her neck during practice."
2024-10-19,https://www.thestar.com.my/aseanplus/aseanplus-news/2024/10/19/thailands-jeeno-thitikul-leads-the-south-east-asian-charge-as-stars-line-up-for-this-week039s-2024-maybank-championship,"KUALA LUMPUR: Thailand's fast-rising star Jeeno Thitikul came so close in winning the Maybank Championship last year but she suffered a heart-breaking playoff defeat to Frenchwoman Celine Boutier. This year, the 21-year-old, said to be the fastest rising star in the international golf circuit, is back with more determination and surely will be going all out to win the coveted trophy this time around."
2024-10-20,https://www.thestar.com.my/aseanplus/aseanplus-news/2024/10/20/olympic-champion-lydia-ko-and-injured-world-no1-korda-forced-to-miss-this-week039s-maybank-championship,"KUALA LUMPUR: Paris Olympics champion Lydia Ko and World No.1 Nelly Korda will not be participating in this week's Maybank Championships which begins at Kuala Lumpur Golf and Country Club on Thursday (Oct 24). Lydia, who had a remarkable season this year winning a Major at the iconic St Andrews besides the Olympics title, has decided to miss the Maybank Championships. No reason has been given for her pullout. She did play at this week's BMW Championships where she finished at the joint-seventh spot."
